label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm
A,0.1339,0.8093,1.0000,1.0000,1.0000
A,0.1255,0.8402,1.0000,1.0000,1.0000
A,0.1130,0.7680,1.0000,1.0000,1.0000
A,0.0628,0.7680,1.0000,1.0000,1.0000
A,0.0544,0.8196,1.0000,1.0000,1.0000
A,0.0879,0.8866,1.0000,1.0000,1.0000
A,0.0628,0.7474,1.0000,1.0000,1.0000
A,0.1213,0.8505,1.0000,1.0000,1.0000
A,0.0711,0.8454,1.0000,1.0000,1.0000
A,0.0084,0.7887,1.0000,1.0000,1.0000
A,0.0502,0.8814,1.0000,1.0000,1.0000
A,0.0753,0.8505,1.0000,1.0000,1.0000
A,0.0418,0.8402,1.0000,1.0000,1.0000
A,0.0418,0.7938,1.0000,1.0000,1.0000
A,0.1841,1.0000,1.0000,1.0000,1.0000
A,0.1297,0.8041,1.0000,1.0000,1.0000
A,0.0628,0.8660,1.0000,1.0000,1.0000
A,0.1130,0.8299,1.0000,1.0000,1.0000
A,0.0711,0.8196,1.0000,1.0000,1.0000
A,0.0879,0.8814,1.0000,1.0000,1.0000
A,0.0628,0.7423,1.0000,1.0000,1.0000
A,0.0586,0.7165,1.0000,1.0000,1.0000
A,0.0669,0.8351,1.0000,1.0000,1.0000
A,0.1088,0.7474,1.0000,1.0000,1.0000
A,0.0418,0.7990,1.0000,1.0000,1.0000
A,0.0502,0.8402,1.0000,1.0000,1.0000
A,0.0795,0.7938,1.0000,1.0000,1.0000
A,0.0753,0.7784,1.0000,1.0000,1.0000
A,0.1004,0.8814,1.0000,1.0000,1.0000
A,0.0084,0.8247,1.0000,1.0000,1.0000
A,0.1046,0.7680,1.0000,1.0000,1.0000
A,0.0586,0.7680,1.0000,1.0000,1.0000
A,0.0084,0.7938,1.0000,1.0000,1.0000
A,0.0000,0.8505,1.0000,1.0000,1.0000
A,0.0000,0.7474,1.0000,1.0000,1.0000
A,0.0167,0.8763,1.0000,1.0000,1.0000
A,0.0879,0.7216,1.0000,1.0000,1.0000
A,0.0084,0.8041,1.0000,1.0000,1.0000
A,0.0000,0.7990,1.0000,1.0000,1.0000
A,0.0084,0.8041,1.0000,1.0000,1.0000
A,0.0628,0.8763,1.0000,1.0000,1.0000
A,0.0335,0.7680,1.0000,1.0000,1.0000
A,0.0209,0.6959,1.0000,1.0000,1.0000
A,0.0042,0.7320,1.0000,1.0000,1.0000
A,0.0251,0.7320,1.0000,1.0000,1.0000
A,0.0795,0.7732,1.0000,1.0000,1.0000
A,0.0000,0.7887,1.0000,1.0000,1.0000
A,0.0000,0.7784,1.0000,1.0000,1.0000
A,0.0000,0.7680,1.0000,1.0000,1.0000
A,0.0628,0.8402,1.0000,1.0000,1.0000
A,0.0000,0.7526,1.0000,1.0000,1.0000
A,0.0000,0.7320,1.0000,1.0000,1.0000
A,0.0084,0.7629,1.0000,1.0000,1.0000
A,0.0000,0.6959,1.0000,1.0000,1.0000
A,0.0000,0.8505,1.0000,1.0000,1.0000
A,0.0000,0.7990,1.0000,1.0000,1.0000
A,0.0795,0.9227,1.0000,1.0000,1.0000
A,0.0000,0.8505,1.0000,1.0000,1.0000
A,0.0000,0.7680,1.0000,1.0000,1.0000
A,0.0000,0.7784,1.0000,1.0000,1.0000
A,0.0042,0.7062,1.0000,1.0000,1.0000
A,0.0460,0.8505,1.0000,1.0000,1.0000
A,0.0000,0.8660,1.0000,1.0000,1.0000
A,0.0000,0.8247,1.0000,1.0000,1.0000
A,0.0000,0.8454,1.0000,1.0000,1.0000
A,0.0000,0.7526,1.0000,1.0000,1.0000
A,0.0000,0.8557,1.0000,1.0000,1.0000
A,0.0000,0.8866,1.0000,1.0000,1.0000
A,0.0000,0.8557,1.0000,1.0000,1.0000
A,0.0000,0.7835,1.0000,1.0000,1.0000
A,0.0000,0.7216,1.0000,1.0000,1.0000
A,0.0000,0.8660,1.0000,1.0000,1.0000
A,0.0000,0.8144,1.0000,1.0000,1.0000
A,0.0000,0.9381,1.0000,1.0000,1.0000
A,0.0000,0.8866,1.0000,1.0000,1.0000
A,0.0000,0.7732,1.0000,1.0000,1.0000
A,0.0000,0.7990,1.0000,1.0000,1.0000
A,0.0000,0.8196,1.0000,1.0000,1.0000
A,0.0000,0.8608,1.0000,1.0000,1.0000
A,0.0000,0.7990,1.0000,1.0000,1.0000
A,0.0000,0.8144,1.0000,1.0000,1.0000
A,0.0000,0.6804,1.0000,1.0000,1.0000
A,0.0000,0.7835,1.0000,1.0000,1.0000
A,0.0000,0.7990,1.0000,1.0000,1.0000
A,0.0000,0.8351,1.0000,1.0000,1.0000
A,0.0000,0.7732,1.0000,1.0000,1.0000
A,0.0000,0.8505,1.0000,1.0000,1.0000
