label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm
B,0.7934,0.5041,0.0358,0.1333,0.1916
B,0.8169,0.5122,0.0435,0.1429,0.1916
B,0.7934,0.5000,0.0256,0.1365,0.2091
B,0.8028,0.5203,0.0179,0.1302,0.2021
B,0.8028,0.5163,0.0153,0.1556,0.1707
B,0.7793,0.5244,0.0307,0.1302,0.1603
B,0.8075,0.5325,0.0205,0.1302,0.1986
B,0.7746,0.5163,0.0460,0.1333,0.1777
B,0.7840,0.5244,0.0307,0.1619,0.1951
B,0.7793,0.4959,0.0332,0.1302,0.2056
B,0.7840,0.4837,0.0435,0.1460,0.1847
B,0.7700,0.5163,0.0205,0.1460,0.1847
B,0.7700,0.4959,0.0435,0.1333,0.1777
B,0.7934,0.5081,0.0256,0.1302,0.2160
B,0.7934,0.5000,0.0256,0.1302,0.1707
B,0.7746,0.5244,0.0409,0.1238,0.1812
B,0.8122,0.5244,0.0332,0.1333,0.1986
B,0.7793,0.4959,0.0563,0.1048,0.1603
B,0.8028,0.5041,0.0332,0.1556,0.1847
B,0.8498,0.5163,0.0435,0.1270,0.1603
B,0.7934,0.5285,0.0512,0.1429,0.1777
B,0.8122,0.5528,0.0588,0.1429,0.2091
B,0.8075,0.5772,0.0588,0.1778,0.2091
B,0.8028,0.5650,0.0614,0.1556,0.2334
B,0.7559,0.5447,0.0588,0.1651,0.2160
B,0.7981,0.5528,0.0512,0.1841,0.2195
B,0.7981,0.5244,0.0614,0.1810,0.1951
B,0.7793,0.5203,0.0588,0.1937,0.2160
B,0.7746,0.5447,0.0460,0.1841,0.2300
B,0.7746,0.5244,0.0665,0.1619,0.2160
B,0.8028,0.5041,0.0665,0.1810,0.2195
B,0.8075,0.5366,0.0537,0.1714,0.2160
B,0.8028,0.5285,0.0716,0.1683,0.2160
B,0.8028,0.5041,0.0563,0.1714,0.1986
B,0.7934,0.5285,0.0588,0.1683,0.2369
B,0.7746,0.5407,0.0435,0.1619,0.1951
B,0.8028,0.5407,0.0588,0.1683,0.2091
B,0.7700,0.5203,0.0512,0.1587,0.1986
B,0.7887,0.5163,0.0435,0.1810,0.2056
B,0.7746,0.5203,0.0102,0.1778,0.1916
B,0.7934,0.5203,0.0128,0.1778,0.2195
B,0.7700,0.4878,0.0537,0.1556,0.1882
B,0.7746,0.5203,0.0512,0.1429,0.2125
B,0.7559,0.5163,0.0230,0.1619,0.2160
B,0.7981,0.4797,0.0639,0.1460,0.2125
B,0.7512,0.4715,0.0588,0.1746,0.2091
B,0.7559,0.4878,0.0563,0.1778,0.2160
B,0.7934,0.5000,0.0230,0.1746,0.1882
B,0.7559,0.4837,0.0281,0.1460,0.1777
B,0.7700,0.4919,0.0205,0.1683,0.2125
B,0.7512,0.4797,0.0435,0.1651,0.1847
B,0.7559,0.4837,0.0230,0.1651,0.1812
B,0.7324,0.5000,0.0537,0.1429,0.1916
B,0.7606,0.5163,0.0435,0.1524,0.1986
B,0.7606,0.5122,0.0409,0.1365,0.2056
B,0.7324,0.4959,0.0358,0.1587,0.2056
B,0.7324,0.5041,0.0256,0.1619,0.2125
B,0.7418,0.5081,0.0435,0.1397,0.2091
B,0.7559,0.4878,0.0563,0.1460,0.1916
B,0.7512,0.4959,0.0435,0.1302,0.1638
B,0.7793,0.5244,0.0256,0.1429,0.1603
B,0.7465,0.4797,0.0026,0.1365,0.1812
B,0.7512,0.5122,0.0307,0.1492,0.1638
B,0.7559,0.4797,0.0563,0.1429,0.2056
B,0.7230,0.4675,0.0358,0.1587,0.1603
B,0.7700,0.4878,0.0256,0.1365,0.2056
B,0.7324,0.4675,0.0179,0.1302,0.1847
B,0.7559,0.4675,0.0512,0.1556,0.1916
B,0.7512,0.4593,0.0256,0.1429,0.1916
B,0.7606,0.4797,0.0179,0.1651,0.2056
B,0.7371,0.4756,0.0102,0.1651,0.1603
B,0.7559,0.4878,0.0358,0.1302,0.1812
B,0.7559,0.4837,0.0281,0.1429,0.1916
B,0.7512,0.4797,0.0435,0.1238,0.2021
B,0.7277,0.5203,0.0230,0.1587,0.1742
B,0.7981,0.5163,0.0588,0.1270,0.1916
B,0.7700,0.5000,0.0588,0.1302,0.1916
B,0.7465,0.4715,0.0230,0.1429,0.1812
B,0.7371,0.4675,0.0358,0.1365,0.1638
B,0.7418,0.4593,0.0409,0.1429,0.1916
B,0.7324,0.4593,0.0179,0.1238,0.1777
B,0.7324,0.4593,0.0256,0.1492,0.1986
B,0.7512,0.4593,0.0205,0.1492,0.1847
B,0.7277,0.4797,0.0307,0.1365,0.1951
B,0.7418,0.4715,0.0537,0.1429,0.1812
B,0.7559,0.4715,0.0563,0.1683,0.1672
B,0.7606,0.4797,0.0358,0.1587,0.1707
B,0.7512,0.4715,0.0205,0.1333,0.2056
B,0.7512,0.5041,0.0307,0.1746,0.1916
B,0.7887,0.4797,0.0051,0.1302,0.1638
B,0.7371,0.4187,0.0460,0.1270,0.1603
B,0.7700,0.4959,0.0256,0.1587,0.1603
B,0.7465,0.4634,0.0409,0.1587,0.1638
B,0.7746,0.4715,0.0358,0.1270,0.1847
B,0.7277,0.4797,0.0332,0.1302,0.2091
B,0.7277,0.4390,0.0332,0.1270,0.1777
B,0.7700,0.4675,0.0358,0.1429,0.1951
B,0.7324,0.4634,0.0179,0.1619,0.1812
B,0.6995,0.4634,0.0000,0.1460,0.1672
B,0.7277,0.4593,0.0153,0.1270,0.1672
B,0.7371,0.4512,0.0409,0.1365,0.1603
B,0.7606,0.4512,0.0358,0.1460,0.1603
B,0.7277,0.4715,0.0435,0.1175,0.1707
B,0.7653,0.4553,0.0307,0.1270,0.1707
B,0.7230,0.4553,0.0205,0.1587,0.1533
B,0.7277,0.4431,0.0358,0.1270,0.1603
B,0.7793,0.4593,0.0051,0.1365,0.1916
B,0.7277,0.4472,0.0358,0.1365,0.1812
B,0.7277,0.4634,0.0358,0.1270,0.1672
B,0.7324,0.4593,0.0307,0.1333,0.1568
B,0.7559,0.4593,0.0256,0.1302,0.1638
B,0.7277,0.4593,0.0460,0.1333,0.1603
B,0.7277,0.4593,0.0435,0.1429,0.1916
B,0.7418,0.4756,0.0256,0.1270,0.1847
B,0.7277,0.4553,0.0358,0.1460,0.1603
B,0.7746,0.4593,0.0307,0.1302,0.1916
B,0.7277,0.4634,0.0153,0.1175,0.2056
B,0.7371,0.4553,0.0332,0.1238,0.1638
B,0.7277,0.4634,0.0512,0.1333,0.1742
B,0.7277,0.4593,0.0179,0.1270,0.1672
B,0.7324,0.4512,0.0205,0.1270,0.1707
B,0.7371,0.4512,0.0128,0.1619,0.1672
B,0.7793,0.4756,0.0256,0.1270,0.1812
B,0.7840,0.4634,0.0205,0.1270,0.1638
B,0.7230,0.4756,0.0256,0.1270,0.1603
B,0.7324,0.4593,0.0051,0.1238,0.1603
B,0.7606,0.4715,0.0205,0.1238,0.1916
B,0.7559,0.4593,0.0230,0.1270,0.1672
B,0.7465,0.4593,0.0256,0.1238,0.1603
B,0.7371,0.4593,0.0102,0.1238,0.1533
B,0.7700,0.4797,0.0102,0.1683,0.1707
B,0.7277,0.4675,0.0102,0.1175,0.2056
B,0.7793,0.4593,0.0307,0.1492,0.1603
B,0.7324,0.4715,0.0128,0.1492,0.1603
B,0.7324,0.4593,0.0486,0.1397,0.1672
B,0.7136,0.4472,0.0205,0.1270,0.1603
B,0.7324,0.4593,0.0230,0.1270,0.1672
B,0.7512,0.4472,0.0307,0.1206,0.1672
B,0.7606,0.4553,0.0205,0.1206,0.1777
B,0.7465,0.4593,0.0230,0.1302,0.1603
B,0.7371,0.4390,0.0409,0.1302,0.1672
B,0.7277,0.4593,0.0179,0.1238,0.1568
B,0.7512,0.4593,0.0179,0.1270,0.1603
B,0.7277,0.4797,0.0128,0.1048,0.1603
B,0.7559,0.4593,0.0128,0.1270,0.1638
B,0.7465,0.4634,0.0102,0.1460,0.1603
B,0.7793,0.4715,0.0409,0.1270,0.1603
B,0.7512,0.4553,0.0000,0.1270,0.1638
B,0.7371,0.4512,0.0128,0.1175,0.1638
B,0.7559,0.4634,0.0051,0.1270,0.1707
B,0.8498,0.6260,0.0409,0.1143,0.1359
B,0.8028,0.6098,0.0512,0.1048,0.1533
B,0.8451,0.6667,0.0153,0.1302,0.1394
B,0.8638,0.6016,0.0409,0.1270,0.1359
B,0.8075,0.6585,0.0179,0.1238,0.1638
B,0.8028,0.6301,0.0077,0.1111,0.1359
B,0.8028,0.6748,0.0512,0.1270,0.1603
B,0.8216,0.6585,0.0256,0.1143,0.1429
B,0.8075,0.6260,0.0409,0.1270,0.1498
B,0.8498,0.5976,0.0205,0.1175,0.1777
B,0.8498,0.6098,0.0358,0.1302,0.1672
B,0.8028,0.6423,0.0179,0.1302,0.1568
B,0.8263,0.6463,0.0460,0.1238,0.1429
B,0.8169,0.6341,0.0435,0.0921,0.1533
B,0.8028,0.6423,0.0614,0.1333,0.1603
B,0.8451,0.5772,0.0409,0.1270,0.1603
B,0.8169,0.6098,0.0460,0.1206,0.1603
B,0.8028,0.6138,0.0307,0.1270,0.1533
B,0.8169,0.5976,0.0358,0.1206,0.1603
B,0.7934,0.6463,0.0512,0.1302,0.1707
B,0.8122,0.6260,0.0128,0.1365,0.1394
B,0.8122,0.6138,0.0460,0.1333,0.1603
B,0.8028,0.6098,0.0409,0.1079,0.1603
B,0.7981,0.5935,0.0435,0.1016,0.1220
B,0.8075,0.6098,0.0358,0.1111,0.1394
B,0.8169,0.6423,0.0435,0.1079,0.1429
B,0.7981,0.5772,0.0256,0.1270,0.1638
B,0.8075,0.4837,0.0000,0.0921,0.1498
B,0.8028,0.5447,0.0205,0.1302,0.1359
B,0.7981,0.5691,0.0332,0.1429,0.1429
B,0.8028,0.5650,0.0435,0.1079,0.1568
B,0.8169,0.5732,0.0179,0.1111,0.1603
B,0.8028,0.5894,0.0205,0.1270,0.1638
B,0.7793,0.5447,0.0563,0.0921,0.1533
B,0.8169,0.5528,0.0307,0.1206,0.1603
B,0.7887,0.5650,0.0026,0.1302,0.1638
B,0.8263,0.5488,0.0205,0.1175,0.1603
B,0.8028,0.5894,0.0409,0.1302,0.1394
B,0.7840,0.5447,0.0051,0.1460,0.1498
B,0.8122,0.5610,0.0205,0.1397,0.1429
B,0.8263,0.5122,0.0409,0.1683,0.1568
B,0.8498,0.5447,0.0256,0.1365,0.1533
B,0.7934,0.5203,0.0332,0.1175,0.1533
B,0.8122,0.5285,0.0230,0.1365,0.1394
B,0.8122,0.5244,0.0051,0.1460,0.1463
B,0.8075,0.5285,0.0179,0.1270,0.1359
B,0.8263,0.5488,0.0153,0.1365,0.1359
B,0.8122,0.5244,0.0153,0.1048,0.1463
B,0.8028,0.4797,0.0460,0.1016,0.1603
B,0.8028,0.5285,0.0153,0.1079,0.1498
B,0.8075,0.5447,0.0256,0.1460,0.1603
B,0.8169,0.5203,0.0153,0.1270,0.1603
B,0.8028,0.5244,0.0205,0.1397,0.1603
B,0.8122,0.5447,0.0000,0.1270,0.1812
B,0.8545,0.5244,0.0460,0.1365,0.1603
B,0.8028,0.5244,0.0205,0.0921,0.1394
B,0.8075,0.4959,0.0205,0.1270,0.1603
B,0.8169,0.4959,0.0307,0.0889,0.1603
B,0.8592,0.5285,0.0153,0.1270,0.1463
B,0.8638,0.5366,0.0358,0.1238,0.1672
B,0.8545,0.5407,0.0307,0.1206,0.1603
B,0.8545,0.5244,0.0179,0.0952,0.1603
B,0.8263,0.5610,0.0179,0.1333,0.1533
B,0.8263,0.5244,0.0153,0.1111,0.1568
B,0.8028,0.5122,0.0435,0.1302,0.1812
B,0.8122,0.4756,0.0537,0.0952,0.1254
B,0.8357,0.5122,0.0230,0.1238,0.1603
B,0.8263,0.5163,0.0153,0.1111,0.1533
B,0.8075,0.5285,0.0051,0.1238,0.1254
B,0.8028,0.5203,0.0256,0.1048,0.1638
B,0.8310,0.5244,0.0230,0.1175,0.1394
B,0.8075,0.5528,0.0000,0.1302,0.1359
B,0.8028,0.4797,0.0256,0.1079,0.1568
B,0.8122,0.4959,0.0000,0.1270,0.1220
B,0.8310,0.5000,0.0256,0.1111,0.1394
B,0.8075,0.5163,0.0332,0.1175,0.1220
B,0.8732,0.5325,0.0153,0.1492,0.1429
B,0.8028,0.5285,0.0179,0.1175,0.1359
B,0.7700,0.4837,0.0051,0.1270,0.1568
B,0.8028,0.4878,0.0000,0.1238,0.1359
B,0.8310,0.5203,0.0179,0.1270,0.1498
B,0.7934,0.4837,0.0000,0.1302,0.1359
B,0.7981,0.4715,0.0000,0.1206,0.1603
B,0.7700,0.5163,0.0256,0.1143,0.1463
B,0.7934,0.4837,0.0102,0.1206,0.1603
B,0.8028,0.4756,0.0153,0.1079,0.1359
B,0.8169,0.4797,0.0307,0.1175,0.1429
B,0.8169,0.4797,0.0000,0.1238,0.1498
B,0.7606,0.5041,0.0358,0.1270,0.1603
B,0.8028,0.4675,0.0205,0.1111,0.1498
B,0.8028,0.5041,0.0205,0.0921,0.1498
B,0.8075,0.5000,0.0051,0.1175,0.1463
B,0.7981,0.5366,0.0256,0.0952,0.1394
B,0.7887,0.5285,0.0102,0.1270,0.1603
B,0.8075,0.5122,0.0179,0.1206,0.1254
B,0.8169,0.5000,0.0179,0.1111,0.1498
B,0.8263,0.4837,0.0000,0.1302,0.1533
B,0.8028,0.5163,0.0153,0.1048,0.1220
B,0.8075,0.4959,0.0179,0.1302,0.1568
B,0.8169,0.4715,0.0205,0.1143,0.1359
B,0.8028,0.4959,0.0000,0.1238,0.1150
B,0.8028,0.5203,0.0153,0.1238,0.1603
B,0.8357,0.5000,0.0026,0.1238,0.1010
B,0.8028,0.4797,0.0000,0.1111,0.1429
B,0.8263,0.4756,0.0000,0.1206,0.1498
B,0.8075,0.4675,0.0000,0.1048,0.1463
B,0.8075,0.4959,0.0230,0.0825,0.1533
B,0.8028,0.5244,0.0179,0.0794,0.1603
B,0.7887,0.4959,0.0026,0.1270,0.1185
B,0.7981,0.4797,0.0153,0.1270,0.1359
B,0.7934,0.4715,0.0179,0.0984,0.1220
B,0.7887,0.5244,0.0102,0.1079,0.1220
B,0.8028,0.4797,0.0000,0.0952,0.1289
B,0.7793,0.4959,0.0230,0.1079,0.1429
B,0.8122,0.5041,0.0153,0.0857,0.1359
B,0.8216,0.4878,0.0128,0.1333,0.1220
B,0.8545,0.4715,0.0000,0.1238,0.1150
B,0.8263,0.5650,0.0102,0.0921,0.1533
B,0.8028,0.5772,0.0179,0.1048,0.1220
B,0.8028,0.5772,0.0128,0.1270,0.1254
B,0.7793,0.6016,0.0128,0.1143,0.1359
B,0.8028,0.5691,0.0051,0.0921,0.1185
B,0.7934,0.5813,0.0051,0.1143,0.1359
B,0.7934,0.6098,0.0256,0.0889,0.1359
B,0.8122,0.5935,0.0307,0.1048,0.1533
B,0.7981,0.5935,0.0205,0.0794,0.1568
B,0.8028,0.5894,0.0205,0.0952,0.1707
B,0.7981,0.5610,0.0051,0.1206,0.1603
B,0.8169,0.5244,0.0000,0.0825,0.1603
B,0.8028,0.5610,0.0102,0.0952,0.1568
B,0.8028,0.5650,0.0332,0.0984,0.1568
B,0.7934,0.5732,0.0051,0.0952,0.1603
B,0.7700,0.5488,0.0051,0.0984,0.1638
B,0.7981,0.5447,0.0000,0.1048,0.1603
B,0.8122,0.5610,0.0000,0.0857,0.1638
B,0.7840,0.5447,0.0000,0.0921,0.1603
B,0.7981,0.5650,0.0000,0.0921,0.1289
B,0.7700,0.5244,0.0153,0.0984,0.1498
B,0.7559,0.5325,0.0077,0.1238,0.1498
B,0.7981,0.5325,0.0051,0.0921,0.1707
B,0.7887,0.5325,0.0102,0.1048,0.1289
B,0.8028,0.5447,0.0000,0.1048,0.1603
B,0.8122,0.5650,0.0307,0.1079,0.1498
B,0.8122,0.5407,0.0205,0.1111,0.1603
B,0.8357,0.4959,0.0358,0.1238,0.1603
B,0.8075,0.5203,0.0256,0.0921,0.1603
B,0.8028,0.5325,0.0358,0.1143,0.1603
B,0.7887,0.5244,0.0256,0.1238,0.1638
B,0.7887,0.5285,0.0460,0.1079,0.1498
B,0.8169,0.5285,0.0332,0.1048,0.1568
B,0.0000,0.4065,0.0716,0.0000,0.0000
B,0.0000,0.3862,0.0409,0.0000,0.0000
B,0.0000,0.3659,0.0435,0.0063,0.0000
B,0.0000,0.3415,0.0716,0.0095,0.0000
B,0.0000,0.3821,0.0537,0.0032,0.0000
B,0.0000,0.3862,0.0409,0.0000,0.0000
B,0.0000,0.3415,0.0460,0.0571,0.0000
B,0.0000,0.3537,0.0588,0.0000,0.0000
B,0.0000,0.3821,0.0332,0.0000,0.0000
B,0.0000,0.3699,0.0512,0.0222,0.0000
B,0.0000,0.4106,0.0614,0.0032,0.0000
B,0.0000,0.3740,0.0179,0.0000,0.0000
B,0.0000,0.3943,0.0460,0.0000,0.0000
B,0.0000,0.3699,0.0537,0.0000,0.0000
B,0.0000,0.3537,0.0512,0.0000,0.0000
B,0.0000,0.3496,0.0256,0.0000,0.0000
B,0.0000,0.3902,0.0332,0.0000,0.0000
B,0.0000,0.3740,0.0435,0.0000,0.0000
B,0.0000,0.3496,0.0153,0.0254,0.0000
B,0.0000,0.3699,0.0588,0.0000,0.0000
B,0.0000,0.3577,0.0512,0.0000,0.0000
B,0.0000,0.3699,0.0460,0.0032,0.0000
B,0.0000,0.3333,0.0435,0.0000,0.0000
B,0.0000,0.3821,0.0256,0.0000,0.0000
B,0.0000,0.3740,0.0205,0.0000,0.0000
B,0.0000,0.4024,0.0486,0.0000,0.0000
B,0.0000,0.3780,0.0486,0.0000,0.0000
B,0.0000,0.4187,0.0409,0.0000,0.0000
B,0.0000,0.4309,0.0179,0.0000,0.0000
B,0.0000,0.4512,0.0332,0.0000,0.0000
B,0.0000,0.4431,0.0409,0.0000,0.0000
B,0.1033,0.4553,0.0716,0.0000,0.0000
B,0.1925,0.4715,0.0767,0.0000,0.0000
B,0.2770,0.4553,0.0486,0.0000,0.0000
B,0.2347,0.4472,0.0588,0.0000,0.0000
B,0.3239,0.4309,0.0563,0.0032,0.0000
B,0.5023,0.4512,0.0205,0.0000,0.0000
B,0.7042,0.4065,0.0588,0.0000,0.0000
B,0.8451,0.4797,0.0486,0.0000,0.0000
B,1.0000,0.4634,0.0691,0.0000,0.0000
B,1.0000,0.4675,0.0972,0.0349,0.0000
B,1.0000,0.5813,0.1074,0.0667,0.0000
B,1.0000,0.5935,0.1560,0.0921,0.0000
B,1.0000,0.5894,0.1739,0.0984,0.0000
B,1.0000,0.6138,0.1790,0.1079,0.0000
B,1.0000,0.6138,0.1714,0.1048,0.0000
B,1.0000,0.6016,0.1790,0.0952,0.0000
B,1.0000,0.5488,0.1662,0.0794,0.0000
B,1.0000,0.5528,0.1432,0.0667,0.0000
B,0.9859,0.5244,0.1253,0.0730,0.0000
B,0.9812,0.5244,0.1074,0.0730,0.0000
B,0.9577,0.4878,0.1228,0.0794,0.0000
B,0.9484,0.5000,0.1125,0.0730,0.0000
B,0.9390,0.5244,0.1176,0.0476,0.0000
B,0.8779,0.5203,0.1074,0.0857,0.0000
B,0.8732,0.5081,0.1151,0.0476,0.0000
B,0.8545,0.4837,0.1049,0.0444,0.0000
B,0.8498,0.4715,0.1125,0.0540,0.0000
