label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm,qw,qx,qy,qz
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4149,0.5053,-0.3884,0.6494
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4150,0.5051,-0.3880,0.6497
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4147,0.5056,-0.3881,0.6494
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4145,0.5061,-0.3884,0.6490
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4146,0.5056,-0.3886,0.6492
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4150,0.5044,-0.3885,0.6500
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4149,0.5044,-0.3882,0.6501
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4147,0.5051,-0.3885,0.6496
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4147,0.5054,-0.3888,0.6492
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4151,0.5047,-0.3890,0.6494
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4155,0.5038,-0.3891,0.6497
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4148,0.5048,-0.3894,0.6493
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4140,0.5059,-0.3899,0.6485
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4140,0.5060,-0.3906,0.6481
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4145,0.5051,-0.3908,0.6483
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4148,0.5048,-0.3907,0.6484
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4144,0.5057,-0.3906,0.6481
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4138,0.5070,-0.3910,0.6472
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4136,0.5069,-0.3911,0.6473
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4136,0.5062,-0.3908,0.6481
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4135,0.5061,-0.3906,0.6483
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4128,0.5069,-0.3904,0.6483
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4124,0.5073,-0.3901,0.6484
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4127,0.5059,-0.3895,0.6497
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4127,0.5046,-0.3884,0.6513
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4125,0.5045,-0.3884,0.6516
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4119,0.5057,-0.3889,0.6507
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4116,0.5067,-0.3892,0.6500
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4121,0.5060,-0.3895,0.6500
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4135,0.5040,-0.3896,0.6505
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4133,0.5047,-0.3900,0.6499
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4127,0.5062,-0.3903,0.6489
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4129,0.5067,-0.3903,0.6484
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4133,0.5059,-0.3900,0.6489
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4136,0.5052,-0.3901,0.6492
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4135,0.5054,-0.3904,0.6489
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4132,0.5061,-0.3907,0.6484
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4134,0.5057,-0.3907,0.6486
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4138,0.5049,-0.3905,0.6492
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4136,0.5051,-0.3904,0.6491
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4130,0.5060,-0.3903,0.6489
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4127,0.5062,-0.3900,0.6492
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4123,0.5049,-0.3887,0.6511
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4112,0.5043,-0.3884,0.6524
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4103,0.5045,-0.3893,0.6523
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4102,0.5048,-0.3907,0.6514
B,1.0000,0.0000,0.0000,0.0000,0.0000,0.4100,0.5051,-0.3912,0.6509
