label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm,qw,qx,qy,qz
B,0.4393,0.0000,0.0000,0.0000,0.0000,0.0497,-0.7097,0.1780,0.6798
B,0.4429,0.0000,0.0000,0.0000,0.0000,0.0492,-0.7095,0.1786,0.6800
B,0.4000,0.0000,0.0000,0.0000,0.0000,0.0491,-0.7098,0.1800,0.6792
B,0.4143,0.0000,0.0000,0.0000,0.0000,0.0487,-0.7106,0.1791,0.6786
B,0.4107,0.0000,0.0000,0.0000,0.0000,0.0483,-0.7114,0.1789,0.6779
B,0.4036,0.0000,0.0000,0.0000,0.0000,0.0485,-0.7121,0.1793,0.6771
B,0.3929,0.0000,0.0000,0.0000,0.0000,0.0491,-0.7120,0.1785,0.6774
B,0.3929,0.0000,0.0000,0.0000,0.0000,0.0490,-0.7112,0.1774,0.6785
B,0.3964,0.0000,0.0000,0.0000,0.0000,0.0486,-0.7108,0.1794,0.6783
B,0.3964,0.0000,0.0000,0.0000,0.0000,0.0489,-0.7108,0.1797,0.6783
B,0.4071,0.0000,0.0000,0.0000,0.0000,0.0485,-0.7116,0.1788,0.6777
B,0.3929,0.0000,0.0000,0.0000,0.0000,0.0488,-0.7118,0.1793,0.6774
B,0.3964,0.0000,0.0000,0.0000,0.0000,0.0492,-0.7111,0.1793,0.6780
B,0.3893,0.0000,0.0000,0.0000,0.0000,0.0474,-0.7137,0.1790,0.6755
B,0.4107,0.0000,0.0000,0.0000,0.0000,0.0473,-0.7150,0.1801,0.6738
B,0.3929,0.0000,0.0000,0.0000,0.0000,0.0480,-0.7141,0.1805,0.6746
B,0.4464,0.0000,0.0000,0.0000,0.0000,0.0468,-0.7160,0.1801,0.6729
B,0.4036,0.0000,0.0000,0.0000,0.0000,0.0471,-0.7158,0.1793,0.6733
B,0.4143,0.0000,0.0000,0.0000,0.0000,0.0471,-0.7161,0.1787,0.6731
B,0.4107,0.0000,0.0000,0.0000,0.0000,0.0474,-0.7172,0.1786,0.6719
B,0.4071,0.0000,0.0000,0.0000,0.0000,0.0482,-0.7159,0.1785,0.6733
B,0.4107,0.0000,0.0000,0.0000,0.0000,0.0470,-0.7163,0.1793,0.6727
B,0.3857,0.0000,0.0000,0.0000,0.0000,0.0463,-0.7171,0.1796,0.6718
B,0.4357,0.0000,0.0000,0.0000,0.0000,0.0466,-0.7165,0.1789,0.6727
B,0.3893,0.0000,0.0000,0.0000,0.0000,0.0473,-0.7159,0.1795,0.6730
B,0.3821,0.0000,0.0000,0.0000,0.0000,0.0483,-0.7142,0.1778,0.6753
B,0.4500,0.0000,0.0000,0.0000,0.0000,0.0469,-0.7145,0.1775,0.6751
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0469,-0.7141,0.1795,0.6750
B,0.3893,0.0000,0.0000,0.0000,0.0000,0.0467,-0.7142,0.1788,0.6751
B,0.3857,0.0000,0.0000,0.0000,0.0000,0.0463,-0.7148,0.1777,0.6747
B,0.3786,0.0000,0.0000,0.0000,0.0000,0.0463,-0.7149,0.1777,0.6746
B,0.3393,0.0000,0.0000,0.0000,0.0000,0.0465,-0.7153,0.1774,0.6744
B,0.3429,0.0000,0.0000,0.0000,0.0000,0.0466,-0.7152,0.1771,0.6745
B,0.3571,0.0000,0.0000,0.0000,0.0000,0.0459,-0.7150,0.1780,0.6745
B,0.3857,0.0000,0.0000,0.0000,0.0000,0.0458,-0.7155,0.1779,0.6740
B,0.3857,0.0000,0.0000,0.0000,0.0000,0.0456,-0.7154,0.1766,0.6745
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0448,-0.7159,0.1767,0.6740
B,0.3821,0.0000,0.0000,0.0000,0.0000,0.0452,-0.7161,0.1769,0.6738
B,0.3857,0.0000,0.0000,0.0000,0.0000,0.0451,-0.7162,0.1755,0.6739
B,0.3893,0.0000,0.0000,0.0000,0.0000,0.0450,-0.7166,0.1769,0.6732
B,0.3821,0.0000,0.0000,0.0000,0.0000,0.0460,-0.7161,0.1774,0.6735
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0452,-0.7169,0.1760,0.6730
B,0.3429,0.0000,0.0000,0.0000,0.0000,0.0446,-0.7171,0.1761,0.6729
B,0.3464,0.0000,0.0000,0.0000,0.0000,0.0447,-0.7172,0.1759,0.6729
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0441,-0.7180,0.1744,0.6725
B,0.3464,0.0000,0.0000,0.0000,0.0000,0.0446,-0.7169,0.1743,0.6735
B,0.3393,0.0000,0.0000,0.0000,0.0000,0.0449,-0.7162,0.1752,0.6740
B,0.3429,0.0000,0.0000,0.0000,0.0000,0.0444,-0.7173,0.1749,0.6730
B,0.3357,0.0000,0.0000,0.0000,0.0000,0.0451,-0.7166,0.1740,0.6739
B,0.3429,0.0000,0.0000,0.0000,0.0000,0.0443,-0.7173,0.1743,0.6731
B,0.3393,0.0000,0.0000,0.0000,0.0000,0.0432,-0.7180,0.1743,0.6725
B,0.3464,0.0000,0.0000,0.0000,0.0000,0.0435,-0.7172,0.1734,0.6735
B,0.3429,0.0000,0.0000,0.0000,0.0000,0.0424,-0.7184,0.1746,0.6721
B,0.3393,0.0000,0.0000,0.0000,0.0000,0.0429,-0.7178,0.1744,0.6727
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0424,-0.7183,0.1733,0.6724
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0422,-0.7185,0.1736,0.6722
B,0.3929,0.0000,0.0000,0.0000,0.0000,0.0425,-0.7184,0.1733,0.6724
B,0.3536,0.0000,0.0000,0.0000,0.0000,0.0425,-0.7189,0.1724,0.6720
B,0.3571,0.0000,0.0000,0.0000,0.0000,0.0430,-0.7183,0.1738,0.6723
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0433,-0.7181,0.1744,0.6723
B,0.3536,0.0000,0.0000,0.0000,0.0000,0.0423,-0.7193,0.1731,0.6714
B,0.3536,0.0000,0.0000,0.0000,0.0000,0.0428,-0.7187,0.1733,0.6721
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0430,-0.7186,0.1739,0.6720
B,0.3857,0.0000,0.0000,0.0000,0.0000,0.0427,-0.7194,0.1741,0.6711
B,0.3964,0.0000,0.0000,0.0000,0.0000,0.0433,-0.7191,0.1745,0.6712
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0436,-0.7193,0.1758,0.6707
B,0.4000,0.0000,0.0000,0.0000,0.0000,0.0443,-0.7182,0.1757,0.6719
B,0.3964,0.0000,0.0000,0.0000,0.0000,0.0443,-0.7182,0.1757,0.6719
B,0.3893,0.0000,0.0000,0.0000,0.0000,0.0436,-0.7178,0.1760,0.6722
B,0.3821,0.0000,0.0000,0.0000,0.0000,0.0429,-0.7175,0.1750,0.6729
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0421,-0.7183,0.1755,0.6720
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0419,-0.7182,0.1758,0.6720
B,0.3821,0.0000,0.0000,0.0000,0.0000,0.0414,-0.7189,0.1754,0.6713
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0418,-0.7191,0.1758,0.6710
B,0.3821,0.0000,0.0000,0.0000,0.0000,0.0416,-0.7180,0.1757,0.6723
B,0.3786,0.0000,0.0000,0.0000,0.0000,0.0399,-0.7178,0.1765,0.6722
B,0.3500,0.0000,0.0000,0.0000,0.0000,0.0398,-0.7168,0.1769,0.6733
