label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm,qw,qx,qy,qz
K,0.0000,0.0000,0.0000,0.8697,1.0000,0.1755,-0.7064,-0.2056,-0.6541
K,0.0000,0.0000,0.0000,0.8709,1.0000,0.1754,-0.7060,-0.2056,-0.6547
K,0.0000,0.0000,0.0000,0.8697,1.0000,0.1752,-0.7056,-0.2057,-0.6551
K,0.0000,0.0000,0.0000,0.8715,1.0000,0.1753,-0.7053,-0.2062,-0.6552
K,0.0000,0.0000,0.0000,0.8668,1.0000,0.1755,-0.7051,-0.2061,-0.6554
K,0.0000,0.0000,0.0000,0.8644,1.0000,0.1752,-0.7073,-0.2064,-0.6530
K,0.0000,0.0000,0.0000,0.8626,1.0000,0.1749,-0.7075,-0.2065,-0.6529
K,0.0000,0.0000,0.0000,0.8609,1.0000,0.1750,-0.7055,-0.2066,-0.6549
K,0.0000,0.0000,0.0000,0.8573,1.0000,0.1750,-0.7068,-0.2074,-0.6533
K,0.0000,0.0000,0.0000,0.8544,1.0000,0.1749,-0.7068,-0.2075,-0.6533
K,0.0000,0.0000,0.0000,0.8514,1.0000,0.1753,-0.7061,-0.2068,-0.6542
K,0.0000,0.0000,0.0000,0.8532,1.0000,0.1752,-0.7070,-0.2063,-0.6534
K,0.0000,0.0000,0.0000,0.8508,1.0000,0.1754,-0.7060,-0.2066,-0.6544
K,0.0000,0.0000,0.0000,0.8461,1.0000,0.1755,-0.7061,-0.2064,-0.6542
K,0.0000,0.0000,0.0000,0.8526,1.0000,0.1754,-0.7065,-0.2057,-0.6541
K,0.0000,0.0000,0.0000,0.8514,1.0000,0.1754,-0.7058,-0.2047,-0.6551
K,0.0000,0.0000,0.0000,0.8502,1.0000,0.1754,-0.7071,-0.2043,-0.6538
K,0.0000,0.0000,0.0000,0.8514,1.0000,0.1752,-0.7083,-0.2044,-0.6526
K,0.0000,0.0000,0.0000,0.8461,1.0000,0.1755,-0.7065,-0.2042,-0.6545
K,0.0000,0.0000,0.0000,0.8443,1.0000,0.1755,-0.7070,-0.2046,-0.6538
K,0.0000,0.0000,0.0000,0.8443,1.0000,0.1758,-0.7062,-0.2050,-0.6544
K,0.0000,0.0000,0.0000,0.8443,1.0000,0.1761,-0.7057,-0.2048,-0.6550
K,0.0000,0.0000,0.0000,0.8472,1.0000,0.1760,-0.7061,-0.2048,-0.6545
K,0.0000,0.0000,0.0000,0.8461,1.0000,0.1757,-0.7054,-0.2045,-0.6555
K,0.0000,0.0000,0.0000,0.8680,1.0000,0.1761,-0.7066,-0.1993,-0.6557
K,0.0000,0.0000,0.0000,0.8804,1.0000,0.1779,-0.7089,-0.1939,-0.6544
K,0.0000,0.0000,0.0000,0.8715,1.0000,0.1775,-0.7109,-0.1927,-0.6526
K,0.0000,0.0000,0.0000,0.8686,1.0000,0.1770,-0.7108,-0.1936,-0.6526
K,0.0000,0.0000,0.0000,0.8703,1.0000,0.1766,-0.7126,-0.1942,-0.6506
K,0.0000,0.0000,0.0000,0.8680,1.0000,0.1771,-0.7151,-0.1942,-0.6477
K,0.0000,0.0000,0.0000,0.8668,1.0000,0.1769,-0.7158,-0.1937,-0.6471
K,0.0000,0.0000,0.0000,0.8721,1.0000,0.1763,-0.7174,-0.1939,-0.6455
K,0.0000,0.0000,0.0000,0.8692,1.0000,0.1755,-0.7200,-0.1949,-0.6425
K,0.0000,0.0000,0.0000,0.8680,1.0000,0.1752,-0.7189,-0.1960,-0.6435
